LINK,ACESSO,TÍTULO,ANO,TIPO,MÍDIA,LIVRO,EDITORA,REVISTA/PERIÓDICO,QUALIS,DOSSIÊ,INSTITUIÇÃO,ESTADO,REGIÃO,Nº AUTORIES,AUTORE 1,AUTORE 2,AUTORE 3,AUTORE 4,AUTORE 5,Área/Gênero
https://rima.ufrrj.br/jspui/handle/1235813/3011,Livre,Diversidade de gênero e ensino de biologia: casos de prazeres e corporeidades não-binários,2015,TCC,Digital,,UFRRJ,,,,,RJ,Sudeste,1,Neilton dos Reis Goularth,,,,,Ciências Biológicas
https://online.unisc.br/seer/index.php/reflex/article/view/7045 ,Livre,"Gêneros não-binários: identidades, expressões e educação",2016,Artigo,Digital,,,Reflexão e Ação,B1,,UNISC,RS,Sul,2,Neilton dos Reis Goularth,Raquel Pinho,,,,Educação
https://www.wwc2017.eventos.dype.com.br/resources/anais/1499481481_ARQUIVO_FG2017completovifinal.pdf,Livre,Vivências não-binárias na contemporaneidade: um rompimento com o binarismo de gênero,2017,Anais,Digital,,,,,,,SC,Sul,2,Vitória Braga Padilha,Yáskara Arrial Palma,,,,Gênero e sexualidade
https://www.researchgate.net/publication/317678733_REINVENCOES_DOS_CORPOS_NAS_EXPERIENCIAS_DA_NAO-BINARIDADE_DE_GENERO,Livre,(Re)invenções dos corpos nas experiências da não-binariedade de gênero,2017,Artigo,Digital,,,Revista Letras Escreve,A3,,UNIFAP,AP,Norte,1,Neilton dos Reis Goularth,,,,,Letras
https://periodicos.ufpa.br/index.php/revistamargens/article/view/5437,Livre,Romper binários de gênero e sexualidade: ensaiar uma educação não-binária,2017,Artigo,Digital,,,Revista Margens Interdisciplinar,A4,,UFPA,PA,Norte,2,Roney Polato de Castro,Neilton dos Reis,,,,"Cidades, territórios e identidades"
https://antigo.faef.br/userfiles/files/Anais%20FAEF%202017%20-%20Vol%2006%20-%20Psicologia.pdf,Livre,Estudo sobre a não binariedade de gênero,2017,Anais,Digital,,,,,,,SP,Sudeste,4,Juliana Marques Barboza,Vitória Zocca Nunes de Barros,José Luís Fuzer,Juliana Baracat,,Psicologia
,,"Não-Binariedade, Teoria Queer e o Direito ao Reconhecimento da Identidade de Gênero.",2017,Capítulo de Livro,Impresso,"Direitos humanos, olhares plurais",Dinâmica Jurídica,,,,,PI,Nordeste,2,Catarina Teresa Mendes dos Santos,A. Borges,,,,Direito
https://periodicos.furg.br/divedu/article/view/6741,Livre,Narrativas escolares sobre Teoria Queer: aproximações e distanciamentos,2017,Artigo,Digital,,,Diversidade E Educação,A4,,FURG,RS,Sul,1,Neilton dos Reis Goularth,,,,,Gênero e sexualidade
https://www.wwc2017.eventos.dype.com.br/resources/anais/1499455249_ARQUIVO_TextoCompletoFazendo.pdf,Livre,Não-binariedade de gênero: processos de subjetivação em narrativas de diferença,2017,Anais,Digital,,,,,,,SC,Sul,1,Neilton dos Reis Goularth,,,,,Gênero e sexualidade
https://periodicos.ufmg.br/index.php/revistatrespontos/article/view/3389,Livre,Performatividades e o existir a partir do (não) gênero,2018,Artigo,Digital,,,Revista três pontos,B3,Múltiplos olhares sobre gênero,UFMG,MG,Sudeste,1,Luiza de Oliveira Monteiro,,,,,Ciências Sociais
https://repositorio.ufjf.br/jspui/handle/ufjf/6682,Livre,Eu sinto que eu sempre me encaixei nessa coisa de não ser homem e não ser mulher”: tecendo saberes e experiências da não-binaridade de gênero,2018,Dissertação,Digital,,UFJF,,,,,MG,Sudeste,1,Neilton dos Reis Goularth,,,,,Educação
https://doi.org/10.1590/1809444920100520011,Livre,"“Travesti”, “mulher transexual”, “homem trans” e “não binário”: interseccionalidades de classe e geração na produção de identidades políticas",2018,Artigo,Digital,,,Cadernos Pagu,A1,,Unicamp,SP,Sudeste,1,Mario Carvalho,,,,,Gênero e sexualidade
https://dialnet.unirioja.es/servlet/articulo?codigo=7129087,Livre,"Nem ela, nem ele: por uma arqueologia (trans*) além do binário",2019,Artigo,Digital,,,Revista de Arqueologia Pública,A3,,Unicamp,SP,Sudeste,1,Gabby Hartemann,,,,,"Arqueologia Pública, do Patrimônio e da Memória"
https://revistas.ufpr.br/revistax/article/view/66071/39460,Livre,A linguagem não-binária na língua portuguesa: possibilidades e reflexões making herstory,2019,Artigo,Digital,,,Revista X,A3,,UFPR,PR,Sul,2,Héliton Diego Lau,Gabriel Jean Sanches,,,,Letras
https://revistas.uneb.br/index.php/rbpab/article/view/5979 ,Livre,"Narrativas de experiências na não-binaridade: discutindo gênero, identidades e diferenças",2019,Artigo,Digital,,,Revista brasileira de pesquisa (auto)biográfica,A4,,UNEB,BH,Nordeste,2,Neilton dos Reis Goularth,Roney Polato de Castro,,,,Autobiográfico
https://repositorio.ufsm.br/handle/1/23180,Livre,"(Bio)política nos corpos, violência normativa e (in)visibilidade da identidade de gênero não binária: perspectivas do reconhecimento e desdobramentos até o direito à extimidade",2020,Dissertação,Digital,,UFSM,,,,,RS,Sul,1,Isadora Forgiarini Balem,,,,,Direito
https://periodicos.ufpel.edu.br/index.php/searafilosofica/article/view/20053,Livre,Não-binariedade: uma saída da colonialidade de poder-saber-ser e de gênero,2020,Artigo,Digital,,,Revista Seára Filosófica,B1,,UFPel,RJ,Sudeste,1,Taner de Lima,,,,,Filosofia
https://lumenjuris.com.br/Categoria/identidade-de-genero-nao-binaria-2020-2546/p,Pago,Identidade de Gênero não Binária,2020,Livro,Impresso,Identidade de Gênero não Binária,Lumen Juris,,,,,RJ,Sudeste,1,Isadora Forgiarini Balem,,,,,Direito
https://editorarealize.com.br/artigo/visualizar/72029 ,Livre,Apagamento de identidades não binárias em traduções de mangás: um estudo comparativo,2020,Anais,Digital,,,,,,,BH,Nordeste,1,Felipe Duarte Pinheiro,,,,,Estudos da Linguagem
http://ediurcamp.urcamp.edu.br/index.php/rcjpgp/article/viewFile/3876/2679 ,Livre,Linguística e jornalismo: análise da utilização da linguagem neutra pelo jornal argentino Página/12,2020,Anais,Digital,,,,,,,RS,Sul,3,Marcelo Rodrigues Barboza Duarte,Cristiane Pereira,Greici Bender,,,Comunicação
https://docs.google.com/forms/d/e/1FAIpQLSfVGhFrZevjyxCrOLFP1yqyPhwq2uGJEE0tq9siT5XQD4asuQ/viewform,Pago,Escrevivência Não Binária,2021,Livro,Digital,Escrevivência Não Binária,Independente,,,,,SP,Sudeste,1,Jupitter Zamboni,,,,,Autobiográfico
